name,price,quantity
9 Volt Battery,1,0
Drill Bit,1,0
Drop Cloth,15,0
Electrical Box - 1 Gang,3,15
Electrical Box - 2 Gang,4,10
Electrical Box - 4 in Round,3,0
Electrical Box - 4 in Square,3,0
Electrical Box Cover - 4 in Round,2,0
Electrical Box Cover - 4 in Square,2,0
Joist Hanger - 2x4,1,0
Joist Hanger - 2x6,2,1
Joist Hanger - 2x8,2,0
Light Switch,3,0
Light Switch Cover,2,0
Outlet,3,20
Outlet Cover - 1 Gang,1,20
Outlet Cover - 2 Gang,2,10
NEMA Right Angle Plug,15,0
NEMA 5-20 Plug Straight,14,5
Romex 12/2 - 10ft,5,7
Screw Bit - Phillips (x2),1,30
Screws (x10),1,0
"Spade Bit - 3/4""",5,4
Staple Gun Staples (x4 Rows),8,1
Tarp,15,0
Wire Staples (x20),1,0
Sharpie,1,0
jigsaw blade (1),5,0
Paint Roller Cover,3,0
Belt Sander Belt,10,92
Caulk (1),3,0
L Bracket,5,0
Paint Brush,3,0
Lamp Holder,15,0
Saw Blade,10,0
Wago Nuts Pack,30,2