barcode,tool_type,description
3641,Booth Chair Hardhat,Red
3642,Booth Chair Hardhat,Red
3665,Booth Chair Hardhat,Red
3643,Booth Chair Hardhat,Red
3644,Booth Chair Hardhat,Red
3645,Booth Chair Hardhat,Red
3646,Booth Chair Hardhat,Red
3647,Booth Chair Hardhat,Red
3648,Booth Chair Hardhat,Red
3649,Booth Chair Hardhat,Red
3650,Booth Chair Hardhat,Red
3651,Booth Chair Hardhat,Red
3652,Booth Chair Hardhat,Red
3653,Booth Chair Hardhat,Red
3654,Booth Chair Hardhat,Red
3655,Booth Chair Hardhat,Red
3656,Booth Chair Hardhat,Red
3661,Booth Chair Hardhat,Red
3662,Booth Chair Hardhat,Red
3663,Booth Chair Hardhat,Red
3664,Booth Chair Hardhat,Red
3730,Booth Chair Hardhat,Red
3731,Booth Chair Hardhat,Red
3732,Booth Chair Hardhat,Red
3733,Booth Chair Hardhat,Red
3734,Booth Chair Hardhat,Red
3735,Booth Chair Hardhat,Red
3736,Booth Chair Hardhat,Red
3737,Booth Chair Hardhat,Red
3738,Booth Chair Hardhat,Red
3739,SCC Hardhat,Blue
3740,SCC Hardhat,Blue
3741,SCC Hardhat,Blue
3742,SCC Hardhat,Blue
3743,SCC Hardhat,Blue
3744,SCC Hardhat,Blue
3745,SCC Hardhat,Blue
3746,SCC Hardhat,Blue
3747,SCC Hardhat,Blue
3748,SCC Hardhat,Blue
3749,SCC Hardhat,Blue
3750,SCC Hardhat,Blue
3751,SCC Hardhat,Blue
3752,SCC Hardhat,Blue