name,price,quantity
Amp Outlet,0.00,10
Amp Switch,10.00,5
Belt Sander Belt,5.00,9
Bracket,1.00,0
Caulk,1.00,2
Circular Saw Blade,0.00,6
Clamp Connectors (3/8 in),0.00,80
Drill Bit,10.00,-8
Drop Cloth,5.00,11
Drywall Screws (1-5/8 in),0.00,2000
Electrical Almond Duplex Wallplate 2G,10.00,0
Electrical Box - 1 Gang,5.00,25
Electrical Box - 2 Gang,1.00,16
Electrical Box - 4 in Round,1.00,0
Electrical Plastic Blank Wallplate 1G,10.00,-1
Electrical Plastic Blank Wallplate 2G,5.00,0
Electrical Switch,1.00,0
Electrical-Cable,1.00,0
Exterior Screws (2.5 in),0.00,86
Jigsaw Blade,5.00,9
Joist Hanger - 2x4,1.00,25
Joist Hanger - 2x6,10.00,17
Joist Hanger 2x8,5.00,50
L Bracket,1.00,50
Lamp Holder,1.00,10
lamp Holder cover,1.00,1
Light Switch,10.00,4
LIght Switch Cover,5.00,0
Miter Saw Blades,0.00,8
Nema 5-20 Plug Straight,15.00,-2
Nema Right Angle Plug,1.00,0
Outlet,10.00,0
Outlet Cover - 1 Gang,5.00,-2
Outlet Cover - 2 Gang,1.00,-6
Paint Brush,1.00,0
Paint Roller Cover,10.00,42
Romex 12/2 - 10 ft,5.00,0
Safety Glasses (extra/forgot),1.00,0
Sawzall Blades,1.00,10
Screw - Connector 1.5 in (x10),10.00,0
Screw - Connector 3 in (x10),5.00,12
Screw Bit - Phillips (x2),1.00,235
Screws (54cm),1.00,10
Sharpie,1.00,0
Spade Bit - 3/4 in,10.00,0
Staple Gun Staples (Manual 3/8 in) (Four Rows),5.00,2494
Staple Gun Staples (Manual 9/16 in) (Four Rows),5.00,59
T bracket,1.00,50
Table Saw Blade,0.00,5
Tarp,1.00,10
Wago,1.00,-1
Wago Nuts Pack,10.00,1
Wire Connectors,0.00,300
Wire Staples (1/2 in),5.00,260
Wire Staples (9/16 in),5.00,350
4-Gang Wall Plates,0.00,29
9 Volt Battery,1.00,-2
AAA Battery,1.00,-1
Screw,1.00,1