andrewid,organization,title,binder_admin,booth_chair
bcli,Kappa Sigma,,,
aslin,Kappa Sigma,,,
smontiel,Kappa Sigma,,,
gwanders,Kappa Sigma,,,
npolichr,Kappa Sigma,,,
rnasim,Kappa Sigma,,,
ijaffer,Kappa Sigma,,,
cbackman,Kappa Sigma,,,
rusnay,American Society of Civil Engineers,,,TRUE
gchatter,American Society of Civil Engineers,,,TRUE
jcrnkovi,American Society of Civil Engineers,,,TRUE
rfeeck,American Society of Civil Engineers,,,
tgoforth,American Society of Civil Engineers,,,
rrusali,American Society of Civil Engineers,,,
rgalindo,American Society of Civil Engineers,,,
ccoyle,American Society of Civil Engineers,,,
jsummers,American Society of Civil Engineers,,,
mwhittak,American Society of Civil Engineers,,,
cmarkuso,American Society of Civil Engineers,,,
jnwang,American Society of Civil Engineers,,,
vding,American Society of Civil Engineers,,,
sjhegde,American Society of Civil Engineers,,,
efarrell,American Society of Civil Engineers,,,
bkundu,American Society of Civil Engineers,,,
dha,American Society of Civil Engineers,,,
mspoerl,Astronomy Club,,,TRUE
rjesurum,Astronomy Club,,,TRUE
amonteav,Astronomy Club,,,TRUE
ruihaoy,Astronomy Club,,,TRUE
akyle,Astronomy Club,,,TRUE
kajackso,Astronomy Club,,,
ccano,Astronomy Club,,,
ebbarret,Astronomy Club,,,
jhsueh,Astronomy Club,,,
esulkin,Astronomy Club,,,
lydiag,Astronomy Club,,,
methomas,Astronomy Club,,,
maperez,Astronomy Club,,,
minghan1,Astronomy Club,,,
salexand,Astronomy Club,,,
sdelosre,Astronomy Club,,,
zhenghaj,Astronomy Club,,,
igoldste,Astronomy Club,,,
svaultz,Astronomy Club,,,
spenfiel,Astronomy Club,,,
swaras,Astronomy Club,,,
mroche,Astronomy Club,,,
mpaccion,Astronomy Club,,,
jaz,Astronomy Club,,,
edegrand,Kappa Kappa Gamma,,,TRUE
sdeluty,Kappa Kappa Gamma,,,TRUE
lkendric,Kappa Kappa Gamma,,,TRUE
hsiaotyp,Kappa Kappa Gamma,,,TRUE
mmwagner,Kappa Kappa Gamma,,,TRUE
amayor,Kappa Kappa Gamma,,,
pbajaj,Kappa Kappa Gamma,,,
kbanh,Kappa Kappa Gamma,,,
akbalaji,Kappa Kappa Gamma,,,
abandi,Kappa Kappa Gamma,,,
abelouss,Kappa Kappa Gamma,,,
mbhopatk,Kappa Kappa Gamma,,,
mbolling,Kappa Kappa Gamma,,,
kaboyle,Kappa Kappa Gamma,,,
sboyle,Kappa Kappa Gamma,,,
emcarval,Kappa Kappa Gamma,,,
monicac1,Kappa Kappa Gamma,,,
ambikac,Kappa Kappa Gamma,,,
crclark,Kappa Kappa Gamma,,,
mtday,Kappa Kappa Gamma,,,
edegrand,Kappa Kappa Gamma,,,
shd,Kappa Kappa Gamma,,,
sdeluty,Kappa Kappa Gamma,,,
ree,Kappa Kappa Gamma,,,
lettenso,Kappa Kappa Gamma,,,
afan,Kappa Kappa Gamma,,,
afolsom,Kappa Kappa Gamma,,,
rvf,Kappa Kappa Gamma,,,
afukuda,Kappa Kappa Gamma,,,
rsgomez,Kappa Kappa Gamma,,,
sgraves,Kappa Kappa Gamma,,,
aguzman2,Kappa Kappa Gamma,,,
nherle,Kappa Kappa Gamma,,,
ahoane,Kappa Kappa Gamma,,,
jkhousto,Kappa Kappa Gamma,,,
sandraj,Kappa Kappa Gamma,,,
nikitaka,Kappa Kappa Gamma,,,
tkathir,Kappa Kappa Gamma,,,
okeller,Kappa Kappa Gamma,,,
lakelly,Kappa Kappa Gamma,,,
lkendric,Kappa Kappa Gamma,,,
amkenned,Kappa Kappa Gamma,,,
hkillen,Kappa Kappa Gamma,,,
jungeun1,Kappa Kappa Gamma,,,
nkwon1,Kappa Kappa Gamma,,,
meghnam,Kappa Kappa Gamma,,,
nupurm,Kappa Kappa Gamma,,,
mmateosk,Kappa Kappa Gamma,,,
emccullo,Kappa Kappa Gamma,,,
jmin1,Kappa Kappa Gamma,,,
rmuse,Kappa Kappa Gamma,,,
hobrien,Kappa Kappa Gamma,,,
apaige,Kappa Kappa Gamma,,,
hsiaotyp,Kappa Kappa Gamma,,,
cquintan,Kappa Kappa Gamma,,,
rravi,Kappa Kappa Gamma,,,
avreece,Kappa Kappa Gamma,,,
arudina,Kappa Kappa Gamma,,,
mrufo,Kappa Kappa Gamma,,,
sruhela,Kappa Kappa Gamma,,,
nsareen,Kappa Kappa Gamma,,,
msengupt,Kappa Kappa Gamma,,,
gshandar,Kappa Kappa Gamma,,,
cshankle,Kappa Kappa Gamma,,,
ashverys,Kappa Kappa Gamma,,,
nanakis,Kappa Kappa Gamma,,,
hbsmith,Kappa Kappa Gamma,,,
asodani,Kappa Kappa Gamma,,,
ptai,Kappa Kappa Gamma,,,
jtardani,Kappa Kappa Gamma,,,
svt,Kappa Kappa Gamma,,,
atully,Kappa Kappa Gamma,,,
ieu,Kappa Kappa Gamma,,,
avanpraa,Kappa Kappa Gamma,,,
nvembu,Kappa Kappa Gamma,,,
avendett,Kappa Kappa Gamma,,,
ijv,Kappa Kappa Gamma,,,
mmwagner,Kappa Kappa Gamma,,,
tweeden,Kappa Kappa Gamma,,,
kwerth,Kappa Kappa Gamma,,,
ardenw,Kappa Kappa Gamma,,,
rwong1,Kappa Kappa Gamma,,,
cwurman,Kappa Kappa Gamma,,,
kcy,Kappa Kappa Gamma,,,
stulluri,Delta Gamma,,,TRUE
mschamin,Delta Gamma,,,TRUE
margretw,Delta Gamma,,,TRUE
csotires,Delta Gamma,,,TRUE
mbanks,Delta Gamma,,,TRUE
rlahmad,Delta Gamma,,,
sbazo,Delta Gamma,,,
ebeisner,Delta Gamma,,,
mbomberg,Delta Gamma,,,
etbrenna,Delta Gamma,,,
recasey,Delta Gamma,,,
cchang2,Delta Gamma,,,
jchui1,Delta Gamma,,,
scordov1,Delta Gamma,,,
mcruff,Delta Gamma,,,
kushald,Delta Gamma,,,
ldegroot,Delta Gamma,,,
jdelator,Delta Gamma,,,
mdibonge,Delta Gamma,,,
msdrisco,Delta Gamma,,,
pdua,Delta Gamma,,,
arestrad,Delta Gamma,,,
hannahf,Delta Gamma,,,
ewfrankl,Delta Gamma,,,
sgough,Delta Gamma,,,
jennyh1,Delta Gamma,,,
saho,Delta Gamma,,,
eiszauk,Delta Gamma,,,
sjurgens,Delta Gamma,,,
jennyki1,Delta Gamma,,,
ljkim,Delta Gamma,,,
akloehn,Delta Gamma,,,
juyeonk,Delta Gamma,,,
klambert,Delta Gamma,,,
mleppla,Delta Gamma,,,
snlew,Delta Gamma,,,
amate,Delta Gamma,,,
pmckeefr,Delta Gamma,,,
roshnim,Delta Gamma,,,
cnmuller,Delta Gamma,,,
bnn,Delta Gamma,,,
anathani,Delta Gamma,,,
hnourie,Delta Gamma,,,
cpitts,Delta Gamma,,,
eporat,Delta Gamma,,,
mpudlo,Delta Gamma,,,
mpullen,Delta Gamma,,,
rrandell,Delta Gamma,,,
ereuss,Delta Gamma,,,
ocs,Delta Gamma,,,
cscoggin,Delta Gamma,,,
oseavy,Delta Gamma,,,
hshalaby,Delta Gamma,,,
cshourab,Delta Gamma,,,
ssill,Delta Gamma,,,
sslabins,Delta Gamma,,,
mslevin,Delta Gamma,,,
jihyes,Delta Gamma,,,
absoto,Delta Gamma,,,
tstentz,Delta Gamma,,,
ktang1,Delta Gamma,,,
aulven,Delta Gamma,,,
anushav,Delta Gamma,,,
mwatson,Delta Gamma,,,
hweishae,Delta Gamma,,,
lwholey,Delta Gamma,,,
jwickers,Delta Gamma,,,
kaw1,Delta Gamma,,,
wenyiz,Delta Gamma,,,
ashvip,Delta Gamma,,,
mwellene,Delta Gamma,,,
nhouglan,Student Dormitory Council,,,TRUE
mgarrett,Student Dormitory Council,,,TRUE
alc1,Student Dormitory Council,,,TRUE
aajith,Student Dormitory Council,,,
acerny,Student Dormitory Council,,,
achanana,Student Dormitory Council,,,
adhyani,Student Dormitory Council,,,
ahavanur,Student Dormitory Council,,,
ajbeck,Student Dormitory Council,,,
akapusci,Student Dormitory Council,,,
akduncan,Student Dormitory Council,,,
alejanda,Student Dormitory Council,,,
aravisha,Student Dormitory Council,,,
asalmon,Student Dormitory Council,,,
bbrennen,Student Dormitory Council,,,
ceq,Student Dormitory Council,,,
cmsmith,Student Dormitory Council,,,
colinkel,Student Dormitory Council,,,
cperry,Student Dormitory Council,,,
daniellh,Student Dormitory Council,,,
dbick,Student Dormitory Council,,,
dbperry,Student Dormitory Council,,,
dbyrapat,Student Dormitory Council,,,
dlaredo,Student Dormitory Council,,,
eblesswi,Student Dormitory Council,,,
ehirao,Student Dormitory Council,,,
erichuan,Student Dormitory Council,,,
eworkman,Student Dormitory Council,,,
gglass,Student Dormitory Council,,,
gth,Student Dormitory Council,,,
hvantil,Student Dormitory Council,,,
inezk,Student Dormitory Council,,,
jemichae,Student Dormitory Council,,,
jhoffma1,Student Dormitory Council,,,
jinxiao,Student Dormitory Council,,,
josephw1,Student Dormitory Council,,,
jronayne,Student Dormitory Council,,,
jwchou,Student Dormitory Council,,,
kakompon,Student Dormitory Council,,,
kanishav,Student Dormitory Council,,,
kdevince,Student Dormitory Council,,,
kkozlows,Student Dormitory Council,,,
lsantizo,Student Dormitory Council,,,
mbrownin,Student Dormitory Council,,,
mcedward,Student Dormitory Council,,,
mflopez,Student Dormitory Council,,,
mgilsilv,Student Dormitory Council,,,
mgopakum,Student Dormitory Council,,,
mhanders,Student Dormitory Council,,,
mlaurenc,Student Dormitory Council,,,
mmirho,Student Dormitory Council,,,
mmlincek,Student Dormitory Council,,,
mparalka,Student Dormitory Council,,,
mpparalk,Student Dormitory Council,,,
mrshukla,Student Dormitory Council,,,
mstiefbo,Student Dormitory Council,,,
mzischka,Student Dormitory Council,,,
nchatter,Student Dormitory Council,,,
nmotta1,Student Dormitory Council,,,
ocl,Student Dormitory Council,,,
oelmady,Student Dormitory Council,,,
olo,Student Dormitory Council,,,
ooanamma,Student Dormitory Council,,,
pbays,Student Dormitory Council,,,
rgroves,Student Dormitory Council,,,
rzr,Student Dormitory Council,,,
sbirke,Student Dormitory Council,,,
sfinnert,Student Dormitory Council,,,
sgiampap,Student Dormitory Council,,,
sinani,Student Dormitory Council,,,
spchrist,Student Dormitory Council,,,
ssuero,Student Dormitory Council,,,
swanasun,Student Dormitory Council,,,
syiblet,Student Dormitory Council,,,
vcherupa,Student Dormitory Council,,,
vhrao,Student Dormitory Council,,,
vkukutla,Student Dormitory Council,,,
vliu1,Student Dormitory Council,,,
wsu1,Student Dormitory Council,,,
xinxinh,Student Dormitory Council,,,
ekrakopo,KGB,,,TRUE
jagu,KGB,,,TRUE
kfair,KGB,,,TRUE
adavey,KGB,,,
aetzel,KGB,,,
afalk,KGB,,,
afrieder,KGB,,,
asilverg,KGB,,,
aslu,KGB,,,
axe,KGB,,,
bbrennen,KGB,,,
bney,KGB,,,
cjwong,KGB,,,
dbork,KGB,,,
dhreed,KGB,,,
dtv,KGB,,,
dyuan,KGB,,,
ecamele,KGB,,,
eeb,KGB,,,
egarbade,KGB,,,
egladdin,KGB,,,
ejglaser,KGB,,,
eseeser,KGB,,,
hfernand,KGB,,,
hhausman,KGB,,,
hlorber,KGB,,,
igriswol,KGB,,,
jjorygei,KGB,,,
jpdoyle,KGB,,,
jzornio,KGB,,,
khans,KGB,,,
kkozlows,KGB,,,
klxia,KGB,,,
kthies,KGB,,,
mar1,KGB,,,
mcoker,KGB,,,
mforsman,KGB,,,
mhthomps,KGB,,,
mjmurphy,KGB,,,
mrquinn,KGB,,,
msjohnso,KGB,,,
nmorin,KGB,,,
nnaylor,KGB,,,
nrauen,KGB,,,
nwalko,KGB,,,
pbrossea,KGB,,,
sctoor,KGB,,,
sdkim1,KGB,,,
shempton,KGB,,,
svitoora,KGB,,,
svnathan,KGB,,,
tparenti,KGB,,,
vmisra,KGB,,,
cjye,Asian Student Association,,,TRUE
ayu1,Asian Student Association,,,TRUE
btao,Asian Student Association,,,TRUE
ijhon,Asian Student Association,,,TRUE
jokoro,Asian Student Association,,,TRUE
vy,Asian Student Association,,,TRUE
victoril,Asian Student Association,,,TRUE
jhxue,Asian Student Association,,,
vzhou,Asian Student Association,,,
chelseaw,Asian Student Association,,,
theresec,Asian Student Association,,,
ysohn,Asian Student Association,,,
selum,Asian Student Association,,,
davidk2,Asian Student Association,,,
anumanba,Asian Student Association,,,
psoong,Asian Student Association,,,
elucero,Asian Student Association,,,
triciac,Asian Student Association,,,
rowenaf,Asian Student Association,,,
angelaq,Asian Student Association,,,
echoi1,Asian Student Association,,,
munsungk,Asian Student Association,,,
ejjiang,Asian Student Association,,,
jglim,Asian Student Association,,,
jydeng,Asian Student Association,,,
slu2,Asian Student Association,,,
ehirao,Asian Student Association,,,
dyl2,Asian Student Association,,,
jshuang,Asian Student Association,,,
dlei,Asian Student Association,,,
susanw,Asian Student Association,,,
mcliu,Asian Student Association,,,
ewzhang,Asian Student Association,,,
victoril,Asian Student Association,,,
jsw1,Asian Student Association,,,
mkim4,Asian Student Association,,,
Yoonyouk,Asian Student Association,,,
ichow,Asian Student Association,,,
lawrench,Asian Student Association,,,
risaac,Asian Student Association,,,
joannele,Asian Student Association,,,
spark3,Asian Student Association,,,
judyz,Asian Student Association,,,
mjwang,Asian Student Association,,,
amdu,Asian Student Association,,,
carold,Asian Student Association,,,
vcl,Asian Student Association,,,
Ehirao,Asian Student Association,,,
jmwan,Asian Student Association,,,
sbao,Asian Student Association,,,
hlin1,Asian Student Association,,,
yoohak,Asian Student Association,,,
jyli1,Asian Student Association,,,
stephanw,Asian Student Association,,,
eazheng,Asian Student Association,,,
jesparc,Asian Student Association,,,
ry1,Asian Student Association,,,
bradleyz,Asian Student Association,,,
thchen,Asian Student Association,,,
shaneo,Asian Student Association,,,
cdgu,Asian Student Association,,,
esu,Asian Student Association,,,
hkang2,Asian Student Association,,,
lkesavan,Asian Student Association,,,
zhiqig,Chinese Students Association,,,TRUE
hwu3,Chinese Students Association,,,TRUE
dingkunw,Chinese Students Association,,,TRUE
yanhaomf,Chinese Students Association,,,TRUE
ximind,Chinese Students Association,,,
sjia,Chinese Students Association,,,
dingkunw,Chinese Students Association,,,
zeshengl,Chinese Students Association,,,
yuanlia1,Chinese Students Association,,,
jiangxul,Chinese Students Association,,,
lingfanj,Chinese Students Association,,,
kaiz1,Chinese Students Association,,,
zhuoyinl,Chinese Students Association,,,
ruiqizhu,Chinese Students Association,,,
hanyingx,Chinese Students Association,,,
geans,Chinese Students Association,,,
qijiay,Chinese Students Association,,,
yanhaomf,Chinese Students Association,,,
yiyunc,Chinese Students Association,,,
junyil1,Chinese Students Association,,,
shuyangg,Chinese Students Association,,,
ziyuez,Chinese Students Association,,,
xiaoyiz1,Chinese Students Association,,,
tianyanf,Chinese Students Association,,,
dniu,Chinese Students Association,,,
zhangyow,Chinese Students Association,,,
mingyan1,Chinese Students Association,,,
yifeiy3,Chinese Students Association,,,
gxz,Chinese Students Association,,,
zesenz,Chinese Students Association,,,
weiyiz1,Chinese Students Association,,,
acli,Chinese Students Association,,,
yidanh,Chinese Students Association,,,
yiwechang1,Chinese Students Association,,,
yjx,Chinese Students Association,,,
yufeiy3,Chinese Students Association,,,
shuyuand,Chinese Students Association,,,
yunhongf,Chinese Students Association,,,
yilel,Chinese Students Association,,,
ziyix,Chinese Students Association,,,
nzhu1,Chinese Students Association,,,
yutongz3,Chinese Students Association,,,
yiyaoy1,Chinese Students Association,,,
chongyat,Chinese Students Association,,,
mxiong,Chinese Students Association,,,
congyiw,Chinese Students Association,,,
siweiw,Chinese Students Association,,,
jinghuaq,Chinese Students Association,,,
tfan1,Chinese Students Association,,,
tianlanj,Chinese Students Association,,,
yezheng,Chinese Students Association,,,
yanshenc,Chinese Students Association,,,
zshuai,Chinese Students Association,,,
senyut,Chinese Students Association,,,
mingyuax,Chinese Students Association,,,
mychang,Chinese Students Association,,,
khelmy,Fringe,,,TRUE
vcollin1,Fringe,,,TRUE
jdparker,Fringe,,,
mlsimpso,Fringe,,,
sachis1,Fringe,,,
jsawkar,Fringe,,,
tgirdhar,Fringe,,,
mwwang,Fringe,,,
lortega,Fringe,,,
earmon,Fringe,,,
bim,Fringe,,,
sbyun,Fringe,,,
lbengtso,Fringe,,,
ncn,Fringe,,,
hweigle,Fringe,,,
svayamm,Fringe,,,
mmoskal,Fringe,,,
jzulinsk,Fringe,,,
afernez,Fringe,,,
Mar1,Fringe,,,
jlaine,Fringe,,,
sfz,Fringe,,,
vidhip,Fringe,,,
eharold,Fringe,,,
jiayis1,Fringe,,,
esespico,Fringe,,,
sakamath,Fringe,,,
nsrivas1,Fringe,,,
sschollm,Fringe,,,
jrothsch,Fringe,,,
helenc1,Fringe,,,
lnazzaro,Fringe,,,
hfurnari,Fringe,,,
klung,Fringe,,,
hyejunk,Fringe,,,
ayc1,Fringe,,,
asmui,Fringe,,,
cwende,Fringe,,,
aipagan,Fringe,,,
hmahon,Fringe,,,
ntoong,Fringe,,,
basun,Fringe,,,
arudich,Fringe,,,
ues,Fringe,,,
dlaredo,Fringe,,,
amauralle,Fringe,,,
mabai,Fringe,,,
shalper,Fringe,,,
aschulz,Fringe,,,
ntho,Fringe,,,
amandrac,Fringe,,,
eschinde,Fringe,,,
dmsingh,Fringe,,,
dskelly,Fringe,,,
sguglani,Fringe,,,
ehknott,Fringe,,,
abalamur,Fringe,,,
bradleyz,Fringe,,,
michells,Fringe,,,
dfarid,Fringe,,,
vkong,Fringe,,,
michell4,Fringe,,,
iks,Fringe,,,
siqingy,Fringe,,,
bweng,Fringe,,,
mschussl,Fringe,,,
rfn,Fringe,,,
terrianz,Fringe,,,
bwershin,Fringe,,,
nalinij,Fringe,,,
arabinov,Fringe,,,
ewang1,Fringe,,,
tweeden,Fringe,,,
hcaffrey,Fringe,,,
annelise,Fringe,,,
prjennin,Fringe,,,
eknag,Fringe,,,
ariedelm,Fringe,,,
aarushiw,Fringe,,,